songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Angel Baby,Rosie and the Originals,1961,60,76,0,0.849,0.347,0.177,0.00231,0.113,-15.365,0.0326,196.501,0.444
Pretty Little Angel Eyes,Curtis Lee,1961,60,77,0,0.322,0.644,0.533,0,0.0781,-11.606,0.0567,112.166,0.789
Think Twice,Brook Benton,1961,60,78,0,0.935,0.442,0.217,0.00757,0.12,-14.609,0.038,79.065,0.321
Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,1961,60,79,0,0.619,0.698,0.806,0,0.9,-8.681,0.104,113.811,0.934
Breakin' in a Brand New Broken Heart,Connie Francis,1961,60,80,0,0.824,0.327,0.238,0,0.0877,-7.387,0.0289,83.352,0.213
Mama Said,The Shirelles,1961,60,81,0,0.57,0.701,0.322,0,0.114,-12.103,0.0685,140.907,0.84
Let the Four Winds Blow,Fats Domino,1961,60,82,0,0.335,0.588,0.494,0.00547,0.168,-10.687,0.0555,91.313,0.958
The Writing on the Wall,Adam Wade,1961,60,83,0,0.543,0.738,0.283,0.000258,0.0733,-11.696,0.041,124.073,0.747
My Kind of Girl,Matt Monro,1961,60,84,0,0.56,0.616,0.185,0,0.157,-14.1,0.0391,130.849,0.413
"Tonight My Love, Tonight",Paul Anka,1961,60,85,0,0.657,0.545,0.66,0,0.634,-7.872,0.0304,125.069,0.884
San Antonio Rose,Floyd Cramer,1961,60,86,0,0.438,0.575,0.451,0.754,0.172,-14.082,0.0282,173.573,0.972
Big Bad John,Jimmy Dean,1961,60,87,1,0.596,0.516,0.457,0,0.106,-12.609,0.184,173.934,0.455
Good Time Baby,Bobby Rydell,1961,60,88,0,0.617,0.506,0.844,0,0.645,-6.58,0.0725,168.78,0.854
Rubber Ball,Bobby Vee,1961,60,89,0,0.686,0.423,0.43,0,0.183,-10.325,0.0353,142.885,0.77
Missing You,Ray Peterson,1961,60,90,0,0.867,0.515,0.485,0,0.155,-2.505,0.0276,90.757,0.357
Dum Dum,Brenda Lee,1961,60,91,0,0.831,0.691,0.618,0,0.136,-6.678,0.154,126.533,0.682
I'm Gonna Knock on Your Door,Eddie Hodges,1961,60,92,0,0.814,0.767,0.87,0.0037,0.0641,-6.756,0.034,126.293,0.991
You Can Depend on Me,Brenda Lee,1961,60,93,0,0.857,0.563,0.153,0.00193,0.085,-13.87,0.0272,92.487,0.335
Let's Twist Again,Chubby Checker,1961,60,94,0,0.0987,0.604,0.709,0,0.0551,-6.377,0.158,167.832,0.907
Take Five,The Dave Brubeck Quartet,1961,60,95,1,0.539,0.454,0.26,0.00078,0.0675,-13.193,0.0401,174.322,0.598
Are You Lonesome Tonight?,Elvis Presley,1961,60,96,0,0.92,0.433,0.0748,0.00104,0.105,-19.351,0.049,73.093,0.193
Sea of Heartbreak,Don Gibson,1961,60,97,0,0.422,0.59,0.586,0.0000446,0.337,-9.158,0.0344,91.17,0.729
More Money for You and Me,The Four Preps,1961,60,98,0,0.796,0.547,0.229,0,0.973,-17.305,0.27,116.515,0.447
You Must Have Been a Beautiful Baby,Bobby Darin,1961,60,99,0,0.753,0.714,0.544,0.0000764,0.0551,-15.721,0.036,134.523,0.973
Please Stay,The Drifters,1961,60,100,0,0.358,0.718,0.387,0,0.216,-10.208,0.0294,113.001,0.718
The Second Time Around,Frank Sinatra,1961,60,101,1,0.82,0.264,0.238,0,0.109,-11.106,0.031,88.295,0.178
